date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2014-01-22,1925.00000000,1918.00001000,1900.00000000,2040.00000000,101170.01879754,51.93743196,259,1947.92108465
2014-01-23,1920.00000000,1908.00000000,1875.00000000,1980.98799000,148505.10750682,78.03863511,222,1902.96905241
2014-01-24,1900.00000000,1900.00000000,1860.50000000,1958.99998000,177372.92891555,94.05666379,193,1885.80927462
2014-01-25,1900.00000000,1850.00000000,1849.99999000,1929.98999000,99698.64872378,53.27978762,139,1871.22834338
2014-01-26,1850.00000000,1929.00000000,1850.00000000,1930.00000000,31820.97585622,16.84940110,93,1888.55233776
2014-01-27,1928.99999000,1890.00000000,1860.00000000,1966.00000000,108814.74494755,57.21735181,188,1901.77876999
2014-01-28,1890.00000000,1930.00000000,1850.00000000,1964.90000000,110660.43568499,58.25982640,293,1899.42954730
2014-01-29,1920.00000000,1935.00000000,1910.00001000,2246.41000000,125542.49057344,62.08833074,372,2021.99816096
2014-01-30,1935.00000000,1900.00000000,1839.99999000,2014.00000000,190895.85023950,100.89603850,313,1892.00540553
2014-01-31,1890.00000000,1812.12430000,1812.12430000,1925.00000000,192252.24187268,103.22324951,545,1862.48972770
2014-02-01,1836.00000000,1850.00000000,1836.00000000,1890.00000000,46858.42365685,24.97781171,100,1876.00195729
2014-02-02,1850.00000000,1889.00000000,1845.49999000,1890.00000000,19069.45682394,10.17162491,52,1874.76995798
2014-02-03,1870.00000000,1919.99999000,1850.01000000,1940.00003000,76131.06835802,40.34962465,170,1886.78504492
2014-02-04,1919.99999000,1903.00000000,1834.00000000,1950.00000000,158242.96745471,83.93660739,280,1885.26761296
2014-02-05,1903.00000000,1875.00001000,1853.00000000,1946.00000000,136806.87343060,71.87033409,244,1903.52354922
2014-02-06,1900.00000000,1851.00000000,1851.00000000,1920.00000000,99952.55073144,52.87142969,244,1890.48322160
2014-02-07,1852.00001000,1700.00000000,1621.00100000,1860.00000000,243303.03928400,136.38782757,487,1783.90581930
2014-02-08,1749.99999000,1598.99999000,1598.99999000,1750.00000000,109128.81792800,65.38909999,200,1668.91451242
2014-02-09,1598.99999000,1650.00000000,1560.00000000,1696.99000000,24460.34470953,14.67148280,98,1667.20331155
2014-02-10,1669.99000000,1605.00000000,1455.00000000,1669.99000000,207456.08526419,131.53862749,510,1577.14953563
2014-02-11,1609.00000000,1600.00000000,1560.90000000,1700.00000000,196206.24561045,121.14609801,513,1619.58369962
2014-02-12,1648.93997000,1634.00000000,1600.00000000,1648.98998000,106946.34836951,65.83574414,204,1624.44200740
2014-02-13,1635.00000000,1540.00000000,1540.00000000,1671.00000000,180197.46018846,111.12000988,309,1621.64726571
2014-02-14,1534.99987000,1687.00000000,1490.00000000,1698.00000000,135614.91287178,85.48961368,304,1586.33203536
2014-02-15,1650.00000000,1680.00000000,1556.00000000,1693.99999000,37560.12375084,22.92907333,90,1638.10038069
2014-02-16,1599.99999000,1560.00000000,1554.35400000,1600.00000000,49342.38993737,31.34878028,86,1573.98117236
2014-02-17,1560.00000000,1599.00000000,1558.01000000,1663.00000000,79489.58234404,49.83990276,244,1594.89842359
2014-02-18,1580.00000000,1560.00000000,1500.00000000,1700.00000000,202367.44799859,130.10895341,332,1555.36911715
2014-02-19,1560.00001000,1559.00000000,1500.00000000,1593.99987000,164604.72761644,108.45647152,201,1517.70314218
2014-02-20,1539.00000000,1392.17000000,1311.00001000,1600.00000000,267580.91076022,181.92979078,515,1470.79216445
2014-02-21,1355.83009000,1489.66355000,1355.00000000,1600.00000000,97397.41983450,67.89542468,267,1434.52110791
2014-02-22,1450.00000000,1464.99998000,1403.33000000,1499.00000000,39573.27343716,27.44968331,158,1441.66593800
